movie_title,actor_id,actor_name
Indiana Jones and the Kingdom of the Crystal Skull,5049,John Hurt
Indiana Jones and the Kingdom of the Crystal Skull,388,Jim Broadbent
The Good Dinosaur,2954,Jeffrey Wright
The Good Dinosaur,18324,Steve Zahn
The Good Dinosaur,10690,Anna Paquin
The Good Dinosaur,16431,Sam Elliott
Brave,7056,Emma Thompson
Brave,1923,Robbie Coltrane
Star Trek Beyond,62064,Chris Pine
Star Trek Beyond,1372,Karl Urban
Star Trek Beyond,11108,Simon Pegg
Star Trek Beyond,8691,Zoe Saldana
Star Trek Beyond,68842,John Cho
Star Trek Beyond,21028,Anton Yelchin
Star Trek Beyond,17605,Idris Elba
WALL·E,20753,Fred Willard
Rush Hour 3,18897,Jackie Chan
Rush Hour 3,2201,Max von Sydow
Rush Hour 3,4492,Philip Baker Hall
2012,3036,John Cusack
2012,2956,Amanda Peet
2012,5294,Chiwetel Ejiofor
2012,17485,Oliver Platt
2012,57755,Woody Harrelson
2012,2047,Danny Glover
A Christmas Carol,64,Gary Oldman
A Christmas Carol,206,Jim Carrey
A Christmas Carol,5472,Colin Firth
A Christmas Carol,2130,Cary Elwes
A Christmas Carol,32,Robin Wright
A Christmas Carol,382,Bob Hoskins
Jupiter Ascending,38673,Channing Tatum
Jupiter Ascending,48,Sean Bean
The Legend of Tarzan,2231,Samuel L. Jackson
The Legend of Tarzan,938,Djimon Hounsou
The Legend of Tarzan,388,Jim Broadbent
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",3896,Liam Neeson
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",3063,Tilda Swinton
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",388,Jim Broadbent
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",5538,Ray Winstone
X-Men: Apocalypse,17288,Michael Fassbender
X-Men: Apocalypse,25072,Oscar Isaac
X-Men: Apocalypse,9827,Rose Byrne
The Dark Knight,3894,Christian Bale
The Dark Knight,6383,Aaron Eckhart
The Dark Knight,3895,Michael Caine
The Dark Knight,1579,Maggie Gyllenhaal
The Dark Knight,64,Gary Oldman
The Dark Knight,192,Morgan Freeman
The Dark Knight,2037,Cillian Murphy
The Dark Knight,21315,Eric Roberts
Up,290,Christopher Plummer
Up,18792,Delroy Lindo
Monsters vs Aliens,19274,Seth Rogen
Monsters vs Aliens,368,Reese Witherspoon
Monsters vs Aliens,22226,Paul Rudd
Monsters vs Aliens,2628,Kiefer Sutherland
Monsters vs Aliens,21200,Will Arnett
Monsters vs Aliens,4175,Jeffrey Tambor
Monsters vs Aliens,56322,Amy Poehler
Monsters vs Aliens,9137,Renée Zellweger
Iron Man,3223,Robert Downey Jr.
Iron Man,18288,Terrence Howard
Iron Man,1229,Jeff Bridges
Iron Man,12052,Gwyneth Paltrow
Iron Man,6162,Paul Bettany
Iron Man,9048,Clark Gregg
Iron Man,15277,Jon Favreau
Iron Man,2231,Samuel L. Jackson
Hugo,2282,Ben Kingsley
Hugo,56734,Chloë Grace Moretz
Hugo,5538,Ray Winstone
Hugo,1246,Emily Mortimer
Hugo,113,Christopher Lee
Hugo,9642,Jude Law
Wild Wild West,2888,Will Smith
Wild Wild West,8945,Kevin Kline
Wild Wild West,3136,Salma Hayek
Wild Wild West,588,M. Emmet Walsh
Wild Wild West,15854,Ted Levine
The Mummy: Tomb of the Dragon Emperor,18269,Brendan Fraser
The Mummy: Tomb of the Dragon Emperor,49,Maria Bello
Suicide Squad,2888,Will Smith
Suicide Squad,19492,Viola Davis
Evan Almighty,4495,Steve Carell
Evan Almighty,1230,John Goodman
Evan Almighty,8265,John Michael Higgins
Evan Almighty,192,Morgan Freeman
Evan Almighty,21007,Jonah Hill
Evan Almighty,28640,Molly Shannon
Edge of Tomorrow,500,Tom Cruise
Edge of Tomorrow,5081,Emily Blunt
Edge of Tomorrow,2039,Brendan Gleeson
Edge of Tomorrow,2053,Bill Paxton
Edge of Tomorrow,12799,Jeremy Piven
Waterworld,1269,Kevin Costner
Waterworld,2778,Dennis Hopper
Waterworld,70851,Jack Black
G.I. Joe: The Rise of Cobra,6065,Dennis Quaid
G.I. Joe: The Rise of Cobra,38673,Channing Tatum
